Event_Date,Over3,Over4,Over5,Over6
1975.1068,0,0,0,0
1975.1096,0,0,0,0
1975.1123,0,0,0,0
1975.1151,0,0,0,0
1975.1178,0,0,0,0
1975.1205,0,0,0,0
1975.1233,0,0,0,0
1975.126,0,0,0,0
1975.1288,0,0,0,0
1975.1315,0,0,0,0
1975.1342,0,0,0,0
1975.137,0,0,0,0
1975.1397,0,0,0,0
1975.1425,0,0,0,0
1975.1452,0,0,0,0
1975.1479,0,0,0,0
1975.1507,0,0,0,0
1975.1534,0,0,0,0
1975.1562,0,0,0,0
1975.1589,0,0,0,0
1975.1616,0,0,0,0
1975.1644,0,0,0,0
1975.1671,0,0,0,0
1975.1699,0,0,0,0
1975.1726,0,0,0,0
1975.1753,0,0,0,0
1975.1781,0,0,0,0
1975.1808,0,0,0,0
1975.1836,0,0,0,0
1975.1863,0,0,0,0
1975.189,0,0,0,0
1975.1918,0,0,0,0
1975.1945,0,0,0,0
1975.1973,0,0,0,0
1975.2,0,0,0,0
1975.2027,0,0,0,0
1975.2055,0,0,0,0
1975.2082,0,0,0,0
1975.211,0,0,0,0
1975.2137,0,0,0,0
1975.2164,0,0,0,0
1975.2192,0,0,0,0
1975.2219,0,0,0,0
1975.2247,0,0,0,0
1975.2274,0,0,0,0
1975.2301,0,0,0,0
1975.2329,0,0,0,0
1975.2356,0,0,0,0
1975.2384,0,0,0,0
1975.2411,0,0,0,0
1975.2438,0,0,0,0
1975.2466,0,0,0,0
1975.2493,0,0,0,0
1975.2521,0,0,0,0
1975.2548,0,0,0,0
1975.2575,0,0,0,0
1975.2603,0,0,0,0
1975.263,0,0,0,0
1975.2658,0,0,0,0
1975.2685,0,0,0,0
1975.2712,0,0,0,0
1975.274,0,0,0,0
1975.2767,0,0,0,0
1975.2795,0,0,0,0
1975.2822,0,0,0,0
1975.2849,0,0,0,0
1975.2877,0,0,0,0
1975.2904,0,0,0,0
1975.2932,0,0,0,0
1975.2959,0,0,0,0
1975.2986,0,0,0,0
1975.3014,0,0,0,0
1975.3041,0,0,0,0
1975.3068,0,0,0,0
1975.3096,0,0,0,0
1975.3123,0,0,0,0
1975.3151,0,0,0,0
1975.3178,0,0,0,0
1975.3205,0,0,0,0
1975.3233,0,0,0,0
1975.326,0,0,0,0
1975.3288,0,0,0,0
1975.3315,0,0,0,0
1975.3342,0,0,0,0
1975.337,0,0,0,0
1975.3397,0,0,0,0
1975.3425,0,0,0,0
1975.3452,0,0,0,0
1975.3479,0,0,0,0
1975.3507,0,0,0,0
1975.3534,0,0,0,0
1975.3562,0,0,0,0
1975.3589,0,0,0,0
1975.3616,0,0,0,0
1975.3644,0,0,0,0
1975.3671,0,0,0,0
1975.3699,0,0,0,0
1975.3726,0,0,0,0
1975.3753,0,0,0,0
1975.3781,0,0,0,0
1975.3808,0,0,0,0
1975.3836,0,0,0,0
1975.3863,0,0,0,0
1975.389,0,0,0,0
1975.3918,0,0,0,0
1975.3945,0,0,0,0
1975.3973,0,0,0,0
1975.4,0,0,0,0
1975.4027,0,0,0,0
1975.4055,0,0,0,0
1975.4082,0,0,0,0
1975.411,0,0,0,0
1975.4137,0,0,0,0
1975.4164,0,0,0,0
1975.4192,0,0,0,0
1975.4219,0,0,0,0
1975.4247,0,0,0,0
1975.4274,0,0,0,0
1975.4301,0,0,0,0
1975.4329,0,0,0,0
1975.4356,0,0,0,0
1975.4384,0,0,0,0
1975.4411,0,0,0,0
1975.4438,0,0,0,0
1975.4466,0,0,0,0
1975.4493,0,0,0,0
1975.4521,0,0,0,0
1975.4548,0,0,0,0
1975.4575,0,0,0,0
1975.4603,0,0,0,0
1975.463,0,0,0,0
1975.4658,0,0,0,0
1975.4685,0,0,0,0
1975.4712,0,0,0,0
1975.474,0,0,0,0
1975.4767,0,0,0,0
1975.4795,0,0,0,0
1975.4822,0,0,0,0
1975.4849,0,0,0,0
1975.4877,0,0,0,0
1975.4904,0,0,0,0
1975.4932,0,0,0,0
1975.4959,0,0,0,0
1975.4986,0,0,0,0
1975.5014,0,0,0,0
1975.5041,0,0,0,0
1975.5068,0,0,0,0
1975.5096,0,0,0,0
1975.5123,0,0,0,0
1975.5151,0,0,0,0
1975.5178,0,0,0,0
1975.5205,0,0,0,0
1975.5233,0,0,0,0
1975.526,0,0,0,0
1975.5288,0,0,0,0
1975.5315,0,0,0,0
1975.5342,0,0,0,0
1975.537,0,0,0,0
1975.5397,0,0,0,0
1975.5425,0,0,0,0
1975.5452,0,0,0,0
1975.5479,0,0,0,0
1975.5507,0,0,0,0
1975.5534,0,0,0,0
1975.5562,0,0,0,0
1975.5589,0,0,0,0
1975.5616,0,0,0,0
1975.5644,0,0,0,0
1975.5671,0,0,0,0
1975.5699,0,0,0,0
1975.5726,0,0,0,0
1975.5753,0,0,0,0
1975.5781,0,0,0,0
1975.5808,0,0,0,0
1975.5836,0,0,0,0
1975.5863,0,0,0,0
1975.589,0,0,0,0
1975.5918,0,0,0,0
1975.5945,0,0,0,0
1975.5973,0,0,0,0
1975.6,0,0,0,0
1975.6027,0,0,0,0
1975.6055,0,0,0,0
1975.6082,0,0,0,0
1975.611,0,0,0,0
1975.6137,0,0,0,0
1975.6164,0,0,0,0
1975.6192,0,0,0,0
1975.6219,0,0,0,0
1975.6247,0,0,0,0
1975.6274,0,0,0,0
1975.6301,0,0,0,0
1975.6329,0,0,0,0
1975.6356,0,0,0,0
1975.6384,0,0,0,0
1975.6411,0,0,0,0
1975.6438,0,0,0,0
1975.6466,0,0,0,0
1975.6493,0,0,0,0
1975.6521,0,0,0,0
1975.6548,0,0,0,0
1975.6575,0,0,0,0
1975.6603,0,0,0,0
1975.663,0,0,0,0
1975.6658,0,0,0,0
1975.6685,0,0,0,0
1975.6712,0,0,0,0
1975.674,0,0,0,0
1975.6767,0,0,0,0
1975.6795,0,0,0,0
1975.6822,0,0,0,0
1975.6849,0,0,0,0
1975.6877,0,0,0,0
1975.6904,0,0,0,0
1975.6932,0,0,0,0
1975.6959,0,0,0,0
1975.6986,0,0,0,0
1975.7014,0,0,0,0
1975.7041,0,0,0,0
1975.7068,0,0,0,0
1975.7096,0,0,0,0
1975.7123,0,0,0,0
1975.7151,0,0,0,0
1975.7178,0,0,0,0
1975.7205,0,0,0,0
1975.7233,0,0,0,0
1975.726,0,0,0,0
1975.7288,0,0,0,0
1975.7315,0,0,0,0
1975.7342,0,0,0,0
1975.737,0,0,0,0
1975.7397,0,0,0,0
1975.7425,0,0,0,0
1975.7452,0,0,0,0
1975.7479,0,0,0,0
1975.7507,0,0,0,0
1975.7534,0,0,0,0
1975.7562,0,0,0,0
1975.7589,0,0,0,0
1975.7616,0,0,0,0
1975.7644,0,0,0,0
1975.7671,0,0,0,0
1975.7699,0,0,0,0
1975.7726,0,0,0,0
1975.7753,0,0,0,0
1975.7781,0,0,0,0
1975.7808,0,0,0,0
1975.7836,0,0,0,0
1975.7863,0,0,0,0
1975.789,0,0,0,0
1975.7918,0,0,0,0
1975.7945,0,0,0,0
1975.7973,0,0,0,0
1975.8,0,0,0,0
1975.8027,0,0,0,0
1975.8055,0,0,0,0
1975.8082,0,0,0,0
1975.811,0,0,0,0
1975.8137,0,0,0,0
1975.8164,0,0,0,0
1975.8192,0,0,0,0
1975.8219,0,0,0,0
1975.8247,0,0,0,0
1975.8274,0,0,0,0
1975.8301,0,0,0,0
1975.8329,0,0,0,0
1975.8356,0,0,0,0
1975.8384,0,0,0,0
1975.8411,0,0,0,0
1975.8438,0,0,0,0
1975.8466,0,0,0,0
1975.8493,0,0,0,0
1975.8521,0,0,0,0
1975.8548,0,0,0,0
1975.8575,0,0,0,0
1975.8603,0,0,0,0
1975.863,0,0,0,0
1975.8658,0,0,0,0
1975.8685,0,0,0,0
1975.8712,0,0,0,0
1975.874,0,0,0,0
1975.8767,0,0,0,0
1975.8795,0,0,0,0
1975.8822,0,0,0,0
1975.8849,0,0,0,0
1975.8877,0,0,0,0
1975.8904,0,0,0,0
1975.8932,0,0,0,0
1975.8959,0,0,0,0
1975.8986,0,0,0,0
1975.9014,0,0,0,0
1975.9041,0,0,0,0
1975.9068,0,0,0,0
1975.9096,0,0,0,0
1975.9123,0,0,0,0
1975.9151,0,0,0,0
1975.9178,0,0,0,0
1975.9205,0,0,0,0
1975.9233,0,0,0,0
1975.926,0,0,0,0
1975.9288,0,0,0,0
1975.9315,0,0,0,0
1975.9342,0,0,0,0
1975.937,0,0,0,0
1975.9397,0,0,0,0
1975.9425,0,0,0,0
1975.9452,0,0,0,0
1975.9479,0,0,0,0
1975.9507,0,0,0,0
1975.9534,0,0,0,0
1975.9562,0,0,0,0
1975.9589,0,0,0,0
1975.9616,0,0,0,0
1975.9644,0,0,0,0
1975.9671,0,0,0,0
1975.9699,0,0,0,0
1975.9726,0,0,0,0
1975.9753,0,0,0,0
1975.9781,0,0,0,0
1975.9808,0,0,0,0
1975.9836,0,0,0,0
1975.9863,0,0,0,0
1975.989,0,0,0,0
1975.9918,0,0,0,0
1975.9945,0,0,0,0
1975.9973,0,0,0,0
1976,0,0,0,0
1976.0027,0,0,0,0
1976.0055,0,0,0,0
1976.0082,0,0,0,0
1976.011,0,0,0,0
1976.0137,0,0,0,0
1976.0164,0,0,0,0
1976.0192,0,0,0,0
1976.0219,0,0,0,0
1976.0247,0,0,0,0
1976.0274,0,0,0,0
1976.0301,0,0,0,0
1976.0329,0,0,0,0
1976.0356,0,0,0,0
1976.0384,0,0,0,0
1976.0411,0,0,0,0
1976.0438,0,0,0,0
1976.0466,0,0,0,0
1976.0493,0,0,0,0
1976.0521,0,0,0,0
1976.0548,0,0,0,0
